Produto,media_valor_vendido,media_peso_vendido,quantidade_vendas,quantidade_clientes,saldo_kg,preco_sugerido
2733,11072.68,291.73,242,148,23256.5472,360.76
3703,17547.68,540.48,55,39,15631.242,886.02
7880,7870.21,362.9,267,75,18938.9088,37.88
11864,9906.47,579.75,180,82,3608.42,29.75
138,9966.58,196.41,47,20,515.6106,118.08
1712,7076.62,156.4,187,117,5779.42,48.24
1505,3153.36,115.74,201,104,23226.1344,21.02
2193,5218.3,154.41,1107,486,23030.3526,51.47
6240,5051.96,136.43,683,406,2250.055,46.3
4994,3235.66,131.1,231,64,2998.548,17.37
1884,3359.1,77.65,33,24,2296.8768,131.84
5102,6238.05,288.33,624,205,26702.0712,26.48
498,2491.94,53.53,19,14,0,48.8
1300,1756.72,39.97,247,157,2411.6064,20.87
10548,22155,1090,2,1,0,28.5
9000,1895.48,64.14,602,353,12329.25,53.58
2265,3989.63,105.32,155,80,13602.0024,26.07
7207,1669.06,53.43,474,271,10008.15,48.8
3602,113858.45,6821.44,25,1,0,29.75
2043,6014.47,119.23,143,69,10817.6544,35.82
12257,29974.67,872.42,749,204,33480.5,42.42
6060,2248.61,70.01,169,98,16051.2,50.01
1795,2531.08,99.85,223,113,12141.36,28.45
2590,6982.87,103.53,110,71,0,146.49
2757,4703.52,62.07,31,19,0,328.79
10657,4392.34,91.35,72,46,22489.15,56.23
6053,2776.07,133.36,207,116,9889.6896,17.37
8764,14700.32,964.66,108,51,2511,27.12
11636,10920,520,1,1,0,35.16
9220,7174.87,182.43,49,36,0,47.59
5000,2443.2,150.29,80,30,2814.5376,21.9
4504,3506.31,165.22,110,60,4864.3,34.61
2403,11301.78,164.65,214,147,1648.416,116.26
10666,2677.57,64.85,78,62,12514.4,61.06
8865,9311.7,168.13,64,41,0,64.02
10589,13924.92,618.05,43,29,2479,25.66
5007,2002.83,104,80,46,4288.4184,39.07
8739,8418.72,592.58,103,38,10375,28.38
5087,4746.53,199.98,271,87,5789.688,17.94
12103,7063.3,202.94,198,152,9038,45.63
90155,31646.19,885.81,107,27,435.6,27.31
9240,20882.07,536.51,28,22,3765,48.21
833,8770.95,321.74,256,122,10532,28.62
2270,4135.64,252.58,50,35,7200.5472,267.46
10910,2747.99,170.77,38,29,24.49,27.4
5081,3364.86,166.62,465,198,15406.146,15.33
3129,2554.7,154.61,320,162,6274.734,26.06
5324,1727.2,66.03,24,20,673.1712,99.57
7726,1452.46,37.42,43,35,1699,48.8
10379,2756.47,58.42,41,32,51.9,54.95
6430,5385.92,136.62,168,123,1920.65,52.93
1459,2075.13,47.39,197,108,2858.7888,52.46
1098,2809.9,104.08,173,108,2865.113306,65.72
1842,7367.03,141.59,63,45,6612.5964,50.09
3364,8831.13,52.89,44,23,1421.9244,38.73
8041,5061.11,179.25,144,49,8567.5968,18.43
325,1538.16,43.82,106,68,2338.3752,24.38
5099,2386.55,138.01,340,164,8906.2524,26.18
9892,3847.85,47.36,101,63,0,71.53
1906,4078.25,121.13,73,17,0,23.03
4423,2349.47,49.81,67,45,3007.6584,131.64
3653,16883.32,568.61,95,67,3719.5488,782.8
1253,1966.29,35.42,186,119,873.477,14.57
7839,20784.29,1145.96,45,10,1056,30.04
3516,3856.42,155.16,34,18,2448.2304,45.95
8773,9834.8,515.21,29,12,1740,26.43
5118,4057.37,151.55,93,44,2187.8064,66.36
5862,5936.01,177.09,185,78,5382.2826,29.66
11370,12289.53,514.96,99,64,4497,39.02
8042,6724.16,183.65,102,29,8411.1552,31.4
5113,4610.27,175.31,79,53,10876.602,75.15
10860,4507.74,177.98,43,27,186.2,27.4
11761,9870.37,554.11,28,19,201,30.04
3605,919.34,42.68,54,16,2.2422,11.19
9897,3657.72,119.96,26,19,41.85,71.53
87,2637.79,52.82,46,25,1275.12,32.91
537,8730.69,94.71,84,49,1299.7716,127.83
100,2497.71,62.7,58,27,755.244,39.69
393,2321.47,83.08,243,135,7636.876,38.4
1330,3896.96,46.62,61,45,735.735,36.23
129,7253.22,152.85,80,28,3130.02,74.08
10208,3099.18,114.96,18,11,378.8928,65.79
9231,3651.98,99.88,10,3,428.0472,50.85
2618,257907.26,6915.16,32,1,0,41.32
5006,3933.2,207.55,159,67,12486.738,31.53
785,5165.33,141.53,40,28,1389.0558,185.96
8392,245306.44,7941.77,31,4,0,27.12
7390,1216.29,54.91,63,45,2059,48.8
11101,104918.17,2675.38,10,1,21652,42.39
5105,4751.75,211.96,47,30,3451.3692,55.64
2178,2091.26,41.58,72,54,3,71.53
198,5730.96,149.79,47,37,3711.015,150.54
84170,11720.74,326.34,9,5,1797.329296,1711.78
151,3133.22,102.15,104,64,4682.667402,119.97
1487,4299.78,74.54,41,19,1250.2,71.53
2093,3515.49,75.4,94,72,774,71.53
14430,46637.47,865.46,26,15,0,71.05
10148,3518.19,156.47,5,4,116.65,32
6766,166389.16,5362.65,40,5,22316,31.35
8818,536741.66,6791.5,4,1,21207,65.45
2723,10352.05,197.36,75,54,0,281.68
904,3256.24,97.83,177,119,7226.2494,79.98
2900,23049.57,433.19,86,68,24279.1614,910.12
730,2110.32,56.55,1,1,518.364,66.87
826,1987.16,72.07,40,21,2014.08,89.33
310,863.52,11.25,21,14,399.4164,20.45
10756,144278.11,5642.33,3,2,3730,25.66
1864,5626.84,182.25,14,10,176.436,110
11603,27287.74,964.33,3,1,0,41.75
10430,4090.48,190.47,162,42,1650.85,27.4
